,dataset,UNCLUSTERED_OC_TABNET_ENSEMBLE_SMOTE_MEANSHIFT,UNCLUSTERED_OC_TABNET_ENSEMBLE_ADASYN_MEANSHIFT,UNCLUSTERED_OC_TABNET_ENSEMBLE_SMOTE_DBSCAN
0,abalone_3_vs_11,99.4_{1},,100.0_{0}
1,abalone_9_vs_18,86.0_{6},87.1_{4},85.3_{5}
2,abalone_19_vs_10_11_12_13,75.2_{6},74.2_{7},71.5_{5}
3,abalone_20_vs_8_9_10,92.3_{5},92.9_{4},91.6_{6}
4,white_9_vs_4,89.7_{20},90.0_{21},90.0_{21}
5,white_3_vs_7,86.6_{5},87.2_{7},84.1_{11}
6,red_8_vs_6,88.2_{10},86.4_{5},86.0_{9}
7,red_3_vs_5,69.1_{19},68.9_{19},77.8_{21}
8,ecoli_0_vs_1,98.7_{2},98.7_{2},98.7_{2}
9,ecoli_0_4_6_vs_5,95.9_{6},94.2_{6},95.9_{5}
10,ecoli_0_3_4_vs_5,94.2_{7},95.6_{5},96.7_{5}
11,ecoli_0_2_3_4_vs_5,94.0_{7},91.7_{7},95.9_{6}
12,glass_2,94.7_{2},93.4_{8},95.5_{3}
13,glass_4,95.5_{7},96.5_{7},96.2_{7}
14,glass_5,99.8_{1},99.6_{1},99.6_{1}
15,glass_0_1_6_vs_5,99.5_{1},99.5_{1},99.5_{1}
16,yeast_3,90.2_{1},91.0_{3},90.1_{1}
17,yeast_4,86.5_{6},86.9_{3},85.7_{4}
18,yeast_5,98.2_{1},98.2_{1},98.6_{1}
19,yeast_6,91.8_{4},90.9_{6},89.2_{6}
